timestamp,station,rain_10min_mm,rain_cum_mm,status,fetched_at
2026-06-10T09:20:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:20:00+09:00,白銀山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:30:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:30:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:30:00+09:00,白銀山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:40:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:40:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:40:00+09:00,白銀山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:50:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:50:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T09:50:00+09:00,白銀山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:00:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:00:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:00:00+09:00,白銀山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:10:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:10:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:10:00+09:00,白銀山,1,1,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:20:00+09:00,南郷山,0,0,ok,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:20:00+09:00,浅間山,,,missing,2026-06-10T11:14:28.943945+09:00
2026-06-10T10:20:00+09:00,白銀山,0,1,ok,2026-06-10T11:14:28.943945+09:00
